,gene_id,gene_name,gene_type,gene_chrom,gene_start,gene_end,n_cells,percent_cells,robust,highly_variable_features,ribosomal,mitochondrial,protein_coding,mitocarta_genes,robust_protein_coding,mean,bins,std
TGM2,ENSG00000198959,TGM2,protein_coding,20,38127385.0,38166578.0,111820.0,1.2565487857144944,True,True,False,False,True,False,True,0.017133437038314783,"(0.0314, 0.0362]",0.14664161835457698
ACOT11,ENSG00000162390,ACOT11,protein_coding,1,54542257.0,54639192.0,2636712.0,29.629379913064174,True,False,False,False,True,True,False,0.31859035055800294,"(0.72, 0.825]",0.562095823127831
KLK6,ENSG00000167755,KLK6,protein_coding,19,50958631.0,50969673.0,855100.0,9.60896858043699,True,True,False,False,True,False,True,0.06469764608852686,"(0.246, 0.282]",0.22196889168793685
FAM189A2,ENSG00000135063,FAM189A2,protein_coding,9,69324567.0,69392558.0,1406051.0,15.800140195874176,True,True,False,False,True,False,True,0.18049225254770238,"(0.484, 0.551]",0.5225151019114566
GLI2,ENSG00000074047,GLI2,protein_coding,2,120735623.0,120992653.0,839196.0,9.430251428871944,True,True,False,False,True,False,True,0.07952735456652817,"(0.246, 0.282]",0.29052574128585995
RGCC,ENSG00000102760,RGCC,protein_coding,13,41457550.0,41470871.0,2745808.0,30.85531844218516,True,True,False,False,True,False,True,0.2780425221631792,"(0.825, 0.96]",0.48586565669189974
PDGFD,ENSG00000170962,PDGFD,protein_coding,11,103907189.0,104164379.0,982357.0,11.038986724093485,True,True,False,False,True,False,True,0.1322778373827664,"(0.282, 0.324]",0.44768863734618286
CEMIP,ENSG00000103888,CEMIP,protein_coding,15,80779343.0,80951776.0,3613198.0,40.6023927691472,True,True,False,False,True,False,True,0.4977735670584379,"(1.125, 1.352]",0.7218864451304117
CLEC2A,ENSG00000188393,CLEC2A,protein_coding,12,9898673.0,9932370.0,128827.0,1.4476606190059127,True,True,False,False,True,False,True,0.01704966478277192,"(0.0314, 0.0362]",0.12140531083705586
TWIST2,ENSG00000233608,TWIST2,protein_coding,2,238848032.0,238910534.0,290995.0,3.2699822384098485,True,False,False,False,True,False,True,0.023447531102670813,"(0.0577, 0.0671]",0.15296560831512246
RHOG,ENSG00000177105,RHOG,protein_coding,11,3826978.0,3840959.0,757774.0,8.515292430209403,True,True,False,False,True,False,True,0.057615761663468386,"(0.185, 0.214]",0.20181141053608875
CDKN1C,ENSG00000129757,CDKN1C,protein_coding,11,2883213.0,2885775.0,914466.0,10.276078893553844,True,True,False,False,True,False,True,0.07852230235617239,"(0.246, 0.282]",0.24588694609677708
LPAR1,ENSG00000198121,LPAR1,protein_coding,9,110873263.0,111038470.0,3931481.0,44.17901696127353,True,True,False,False,True,False,True,0.5343445583960318,"(1.352, 1.683]",0.7815333424887044
CDH20,ENSG00000101542,CDH20,protein_coding,18,61333430.0,61555779.0,6333278.0,71.16859936051083,True,True,False,False,True,False,True,1.2190386218927585,"(2.18, 7.959]",1.089877041969873
ENSG00000272921,ENSG00000272921,ENSG00000272921,protein_coding,12,4604944.0,4662643.0,255253.0,2.8683406116972083,True,True,False,False,True,False,True,0.021580235768756367,"(0.0577, 0.0671]",0.12974177606588325
BMPR1B,ENSG00000138696,BMPR1B,protein_coding,4,94757955.0,95158448.0,1947954.0,21.889637214520587,True,True,False,False,True,False,True,0.3162967985151721,"(0.72, 0.825]",0.7280831569080685
ACP3,ENSG00000014257,ACP3,protein_coding,3,132317369.0,132368298.0,169280.0,1.9022409090122483,True,True,False,False,True,False,True,0.013334107829470645,"(0.0422, 0.0495]",0.1055547878921219
CPA1,ENSG00000091704,CPA1,protein_coding,7,130380339.0,130388114.0,241994.0,2.7193459743354795,True,True,False,False,True,False,True,0.020300598315441055,"(0.0671, 0.0773]",0.15011590216817566
ERMN,ENSG00000136541,ERMN,protein_coding,2,157318631.0,157327713.0,2390628.0,26.864073604856646,True,True,False,False,True,False,True,0.2412255813532429,"(0.825, 0.96]",0.4709703094649937
BAZ1A,ENSG00000198604,BAZ1A,protein_coding,14,34752731.0,34875647.0,2491402.0,27.996495777380282,True,True,False,False,True,False,True,0.23703447785175416,"(0.72, 0.825]",0.4245073852990527
FOS,ENSG00000170345,FOS,protein_coding,14,75278826.0,75282230.0,857735.0,9.63857872218585,True,True,False,False,True,False,True,0.09081866213353881,"(0.246, 0.282]",0.3276325287734125
STK31,ENSG00000196335,STK31,protein_coding,7,23710203.0,23832513.0,688551.0,7.7374165887363695,True,True,False,False,True,False,True,0.06027649860037642,"(0.161, 0.185]",0.22396171545262689
ASPH,ENSG00000198363,ASPH,protein_coding,8,61500556.0,61714640.0,5485204.0,61.638583666573844,True,False,False,False,True,False,True,0.8612443430652076,"(1.683, 2.18]",0.8468116952263246
CRHBP,ENSG00000145708,CRHBP,protein_coding,5,76953045.0,76981158.0,466776.0,5.245276480063216,True,True,False,False,True,False,True,0.03466357671729522,"(0.104, 0.121]",0.17120119786205873
KCNQ3,ENSG00000184156,KCNQ3,protein_coding,8,132120859.0,132481095.0,5348172.0,60.09872144868771,True,True,False,False,True,False,True,1.2519788196877921,"(2.18, 7.959]",1.3143125565096558
COL3A1,ENSG00000168542,COL3A1,protein_coding,2,188974373.0,189012746.0,53352.0,0.5995295190076884,True,True,False,False,True,False,True,0.0049385527088372525,"(0.0146, 0.017]",0.07096659905559698
GPX1,ENSG00000233276,GPX1,protein_coding,3,49357176.0,49358353.0,380916.0,4.280446586113596,True,False,False,False,True,True,False,0.027119077512536893,"(0.0773, 0.0894]",0.13983718777104634
LGR5,ENSG00000139292,LGR5,protein_coding,12,71439798.0,71586310.0,2015130.0,22.644510414566707,True,True,False,False,True,False,True,0.1993773731152039,"(0.63, 0.72]",0.4411310381911325
IQGAP2,ENSG00000145703,IQGAP2,protein_coding,5,76403285.0,76708132.0,662118.0,7.440382479875779,True,True,False,False,True,False,True,0.06655705709627699,"(0.185, 0.214]",0.29403005373952273
COL15A1,ENSG00000204291,COL15A1,protein_coding,9,98943179.0,99070792.0,795147.0,8.935262004243635,True,True,False,False,True,False,True,0.06268641746811586,"(0.185, 0.214]",0.22397024633806628
PTER,ENSG00000165983,PTER,protein_coding,10,16436943.0,16513745.0,269448.0,3.027853310795914,True,True,False,False,True,False,True,0.02269547664379969,"(0.0577, 0.0671]",0.1331810608264381
OAF,ENSG00000184232,OAF,protein_coding,11,120211032.0,120230334.0,1097867.0,12.337000945501831,True,True,False,False,True,False,True,0.08770613920730333,"(0.324, 0.368]",0.2754227041406457
PLEKHH1,ENSG00000054690,PLEKHH1,protein_coding,14,67533290.0,67589612.0,5477502.0,61.5520344021527,True,True,False,False,True,False,True,0.7873957996955638,"(2.18, 7.959]",0.833529879345554
CTNNA2,ENSG00000066032,CTNNA2,protein_coding,2,79185231.0,80648861.0,6832580.0,76.779378485934,True,False,False,False,True,False,True,2.064422379787624,"(2.18, 7.959]",1.6511417476598658
PTN,ENSG00000105894,PTN,protein_coding,7,137227341.0,137343774.0,3874302.0,43.53648250394596,True,True,False,False,True,False,True,0.4248074791697613,"(1.352, 1.683]",0.6441622317832122
TMED3,ENSG00000166557,TMED3,protein_coding,15,79311112.0,79427432.0,1087396.0,12.219335748442123,True,True,False,False,True,False,True,0.10064355966409982,"(0.246, 0.282]",0.2935193614418802
CLTCL1,ENSG00000070371,CLTCL1,protein_coding,22,19179473.0,19291719.0,1453826.0,16.336999597032378,True,True,False,False,True,False,True,0.1293032173195326,"(0.368, 0.425]",0.32476005154377685
PNRC1,ENSG00000146278,PNRC1,protein_coding,6,89080751.0,89085160.0,1719278.0,19.31994887502812,True,True,False,False,True,False,True,0.14401425096397416,"(0.425, 0.484]",0.3134940061238146
MYO1D,ENSG00000176658,MYO1D,protein_coding,17,32492522.0,32877177.0,5533187.0,62.17778041478471,True,True,False,False,True,False,True,0.8946912966051358,"(1.683, 2.18]",0.8751306318957204
SMAP2,ENSG00000084070,SMAP2,protein_coding,1,40344850.0,40423326.0,3967764.0,44.58673793777218,True,True,False,False,True,False,True,0.4934962522471922,"(1.125, 1.352]",0.6442577510470382
PTGFR,ENSG00000122420,PTGFR,protein_coding,1,78303884.0,78540701.0,214888.0,2.414749199290076,True,True,False,False,True,False,True,0.01721322387806305,"(0.0495, 0.0577]",0.12818887125599568
CPS1,ENSG00000021826,CPS1,protein_coding,2,210477682.0,210679107.0,912749.0,10.25678454312394,True,False,False,False,True,True,False,0.10948539601262874,"(0.214, 0.246]",0.3212973241535787
RASGEF1B,ENSG00000138670,RASGEF1B,protein_coding,4,81426393.0,82044244.0,3025492.0,33.99819619736109,True,True,False,False,True,False,True,0.30767059832927185,"(0.825, 0.96]",0.49155424886122095
NGB,ENSG00000165553,NGB,protein_coding,14,77265483.0,77271206.0,431029.0,4.843578667123348,True,False,False,False,True,False,True,0.05033535807711805,"(0.0894, 0.104]",0.20427962999734708
HELB,ENSG00000127311,HELB,protein_coding,12,66302493.0,66343643.0,813457.0,9.141015968350523,True,True,False,False,True,False,True,0.07486275814706117,"(0.185, 0.214]",0.2492936616232007
IRGM,ENSG00000237693,IRGM,protein_coding,5,150846523.0,150900736.0,111670.0,1.2548631988976713,True,True,False,False,True,False,True,0.009483368054581963,"(0.023, 0.027]",0.08758305862836274
ZNF124,ENSG00000196418,ZNF124,protein_coding,1,247121975.0,247172020.0,2043719.0,22.96577202460777,True,True,False,False,True,False,True,0.1989244047505207,"(0.484, 0.551]",0.39882682638335837
PDGFB,ENSG00000100311,PDGFB,protein_coding,22,39223359.0,39244982.0,612073.0,6.87801453155632,True,True,False,False,True,False,True,0.054873178662336534,"(0.14, 0.161]",0.21314182121583736
LYVE1,ENSG00000133800,LYVE1,protein_coding,11,10556966.0,10611689.0,682196.0,7.6660038939302915,True,True,False,False,True,False,True,0.05491755948941773,"(0.185, 0.214]",0.22109219821420173
CASP8,ENSG00000064012,CASP8,protein_coding,2,201233443.0,201287711.0,722300.0,8.116662385276152,True,False,False,False,True,True,False,0.05860508970770987,"(0.161, 0.185]",0.2198756697332728
SUGCT,ENSG00000175600,SUGCT,protein_coding,7,40135005.0,40860763.0,2293106.0,25.768194954521746,True,False,False,False,True,True,False,0.258729257240282,"(0.63, 0.72]",0.5084859756241473
COLGALT1,ENSG00000130309,COLGALT1,protein_coding,19,17555649.0,17583162.0,1347919.0,15.146896643637056,True,True,False,False,True,False,True,0.11180057098517321,"(0.324, 0.368]",0.2789179907165041
MME,ENSG00000196549,MME,protein_coding,3,155024124.0,155183704.0,379562.0,4.265231355780405,True,True,False,False,True,False,True,0.03643310803636043,"(0.0894, 0.104]",0.20830359373596677
UEVLD,ENSG00000151116,UEVLD,protein_coding,11,18529609.0,18588747.0,2132825.0,23.967078017273444,True,True,False,False,True,False,True,0.19094384262990893,"(0.551, 0.63]",0.3728532306307157
LIMK2,ENSG00000182541,LIMK2,protein_coding,22,31212239.0,31280080.0,1463220.0,16.442562280747293,True,True,False,False,True,False,True,0.1440152064139541,"(0.368, 0.425]",0.33940300617807523
RPS4X,ENSG00000198034,RPS4X,protein_coding,X,72255679.0,72277248.0,2040826.0,22.93326267353397,True,False,True,False,True,False,False,0.1778410970274237,"(0.484, 0.551]",0.36664389074561415
HEBP2,ENSG00000051620,HEBP2,protein_coding,6,138403531.0,138422197.0,436732.0,4.907664677898968,True,True,False,False,True,False,True,0.036382167439890596,"(0.104, 0.121]",0.1638063211608924
KCNE3,ENSG00000175538,KCNE3,protein_coding,11,74454841.0,74467729.0,83194.0,0.9348713975919483,True,True,False,False,True,False,True,0.00614014687461929,"(0.0198, 0.023]",0.06721768595304256
FCGBP,ENSG00000275395,FCGBP,protein_coding,19,39863323.0,39934626.0,372998.0,4.191470076676221,True,True,False,False,True,False,True,0.041957196218826626,"(0.104, 0.121]",0.23400422629255407
ATP1B3,ENSG00000069849,ATP1B3,protein_coding,3,141876124.0,141926549.0,3803480.0,42.74063830700559,True,False,False,False,True,False,True,0.46708823564820173,"(0.96, 1.125]",0.6214245731432346
SFTPC,ENSG00000168484,SFTPC,protein_coding,8,22156913.0,22164479.0,349434.0,3.926675624998736,True,True,False,False,True,False,True,0.027102991307440677,"(0.0773, 0.0894]",0.13916517110948665
NET1,ENSG00000173848,NET1,protein_coding,10,5412557.0,5459056.0,820569.0,9.220935257958836,True,True,False,False,True,False,True,0.07504384263286819,"(0.185, 0.214]",0.2529137175264104
PLSCR4,ENSG00000114698,PLSCR4,protein_coding,3,146192335.0,146251179.0,1448937.0,16.282060704049385,True,True,False,False,True,False,True,0.17308776709048232,"(0.484, 0.551]",0.4719880316374261
ADIRF,ENSG00000148671,ADIRF,protein_coding,10,86968432.0,86983934.0,133035.0,1.4949469478405273,True,True,False,False,True,False,True,0.011685186387303167,"(0.0362, 0.0422]",0.09703676573724955
PPARD,ENSG00000112033,PPARD,protein_coding,6,35342558.0,35428191.0,2844248.0,31.96151288383902,True,True,False,False,True,False,True,0.28172641469037224,"(0.72, 0.825]",0.4569930995396548
ADCY8,ENSG00000155897,ADCY8,protein_coding,8,130780301.0,131040909.0,2868117.0,32.229734695377374,True,True,False,False,True,False,True,0.3912571881350393,"(0.825, 0.96]",0.7032531589878334
CCDC18,ENSG00000122483,CCDC18,protein_coding,1,93179919.0,93278730.0,2119317.0,23.81528530579579,True,True,False,False,True,False,True,0.20323601783110073,"(0.551, 0.63]",0.40809393399246763
RNH1,ENSG00000023191,RNH1,protein_coding,11,494512.0,507300.0,1960087.0,22.025978713510696,True,True,False,False,True,False,True,0.15916431718331325,"(0.484, 0.551]",0.3275891412838248
FBLN1,ENSG00000077942,FBLN1,protein_coding,22,45502238.0,45601135.0,455608.0,5.119778922928004,True,True,False,False,True,False,True,0.03859934931094147,"(0.121, 0.14]",0.1947264632993513
CIITA,ENSG00000179583,CIITA,protein_coding,16,10866222.0,10943021.0,785143.0,8.822844600806969,True,True,False,False,True,False,True,0.07214657165341204,"(0.185, 0.214]",0.2514533928203599
PDPN,ENSG00000162493,PDPN,protein_coding,1,13583465.0,13617957.0,477050.0,5.360727939770162,True,True,False,False,True,False,True,0.041675942609429514,"(0.104, 0.121]",0.1843649233111398
HPR,ENSG00000261701,HPR,protein_coding,16,72063148.0,72077246.0,192174.0,2.159506406241256,True,True,False,False,True,False,True,0.021692897394875454,"(0.0495, 0.0577]",0.13059125084116216
SLC16A9,ENSG00000165449,SLC16A9,protein_coding,10,59650764.0,59736002.0,1166637.0,13.109786314788058,True,True,False,False,True,False,True,0.11007168489748934,"(0.324, 0.368]",0.33830458397471097
RFX4,ENSG00000111783,RFX4,protein_coding,12,106583004.0,106762803.0,3068418.0,34.480566195354115,True,True,False,False,True,False,True,0.40587772398888994,"(0.96, 1.125]",0.7197107368167103
P2RY13,ENSG00000181631,P2RY13,protein_coding,3,151326312.0,151329549.0,204994.0,2.3035678928524153,True,True,False,False,True,False,True,0.012155058780084039,"(0.0495, 0.0577]",0.09755266991675546
GPR156,ENSG00000175697,GPR156,protein_coding,3,120164645.0,120285222.0,509026.0,5.7200501001350945,True,True,False,False,True,False,True,0.040084654942261384,"(0.121, 0.14]",0.19329513561070524
ENSG00000205045,ENSG00000205045,ENSG00000205045,protein_coding,17,35464249.0,35487857.0,102405.0,1.1507501198452226,True,True,False,False,True,False,True,0.007128097529400551,"(0.023, 0.027]",0.0732512590574811
MX1,ENSG00000157601,MX1,protein_coding,21,41420020.0,41470071.0,864775.0,9.717688930122089,True,True,False,False,True,False,True,0.08729544586513693,"(0.185, 0.214]",0.2658613634014104
OIP5,ENSG00000104147,OIP5,protein_coding,15,41309273.0,41332591.0,606963.0,6.8205922073298755,True,False,False,False,True,False,True,0.04775190553104036,"(0.14, 0.161]",0.19026011214736782
TSNAX-DISC1,ENSG00000270106,TSNAX-DISC1,protein_coding,1,231528653.0,231819244.0,532369.0,5.982361120569126,True,True,False,False,True,False,True,0.04267108875688104,"(0.121, 0.14]",0.18043909795083096
ATOH8,ENSG00000168874,ATOH8,protein_coding,2,85751344.0,85791383.0,526728.0,5.918971819011127,True,True,False,False,True,False,True,0.043086429047126236,"(0.14, 0.161]",0.1820170230548579
LY86,ENSG00000112799,LY86,protein_coding,6,6588108.0,6654983.0,944675.0,10.615544841216598,True,True,False,False,True,False,True,0.09352260357647371,"(0.246, 0.282]",0.3060567630301505
PRRG4,ENSG00000135378,PRRG4,protein_coding,11,32829927.0,32858120.0,113061.0,1.2704942073123453,True,True,False,False,True,False,True,0.007731291535384364,"(0.027, 0.0314]",0.0764532539528041
SCN9A,ENSG00000169432,SCN9A,protein_coding,2,166195185.0,166376001.0,1833343.0,20.601725276767738,True,True,False,False,True,False,True,0.2362347262226775,"(0.484, 0.551]",0.5365709763201338
TNFSF8,ENSG00000106952,TNFSF8,protein_coding,9,114893343.0,114930595.0,74850.0,0.8411078215947945,True,True,False,False,True,False,True,0.005394259168545356,"(0.0198, 0.023]",0.06553063100332789
CTXND1,ENSG00000259417,CTXND1,protein_coding,15,80195481.0,80252213.0,1051933.0,11.820829313208774,True,True,False,False,True,False,True,0.09374831757662812,"(0.282, 0.324]",0.3214927457853889
MBP,ENSG00000197971,MBP,protein_coding,18,76978827.0,77133683.0,6821091.0,76.6502737730108,True,True,False,False,True,False,True,1.3222509807760037,"(2.18, 7.959]",1.1041426211955645
SPSB4,ENSG00000175093,SPSB4,protein_coding,3,141051347.0,141148611.0,362325.0,4.071534956036524,True,True,False,False,True,False,True,0.029387663187490556,"(0.0894, 0.104]",0.1664800744513298
TBX2,ENSG00000121068,TBX2,protein_coding,17,61399843.0,61409466.0,63681.0,0.7155990272141363,True,True,False,False,True,False,True,0.006766071184208194,"(0.017, 0.0198]",0.07982593230429125
A4GALT,ENSG00000128274,A4GALT,protein_coding,22,42692121.0,42721298.0,147250.0,1.6546843918481424,True,True,False,False,True,False,True,0.012720309992684706,"(0.0362, 0.0422]",0.09744381577782388
ASZ1,ENSG00000154438,ASZ1,protein_coding,7,117363222.0,117428123.0,122567.0,1.3773154625171564,True,True,False,False,True,False,True,0.01068485879652679,"(0.0314, 0.0362]",0.09550604540849535
LAP3,ENSG00000002549,LAP3,protein_coding,4,17577198.0,17607972.0,1690285.0,18.994147417827083,True,False,False,False,True,True,False,0.1400300132981931,"(0.425, 0.484]",0.31943734003225915
EVC2,ENSG00000173040,EVC2,protein_coding,4,5542772.0,5709548.0,382431.0,4.297471012963511,True,True,False,False,True,False,True,0.03243933450327572,"(0.0894, 0.104]",0.16574214658827383
ASPN,ENSG00000106819,ASPN,protein_coding,9,92456205.0,92482506.0,918179.0,10.317802785892942,True,True,False,False,True,False,True,0.08356308796504079,"(0.214, 0.246]",0.26157125580249435
BLM,ENSG00000197299,BLM,protein_coding,15,90717346.0,90816166.0,745893.0,8.381782717071557,True,True,False,False,True,False,True,0.05936201668710853,"(0.185, 0.214]",0.2323889557584319
ENSG00000283809,ENSG00000283809,ENSG00000283809,protein_coding,22,18906238.0,18947732.0,647199.0,7.2727340150745405,True,True,False,False,True,False,True,0.051979394703866325,"(0.161, 0.185]",0.20456512795382786
TRIB2,ENSG00000071575,TRIB2,protein_coding,2,12716910.0,12742734.0,1122358.0,12.612212323707283,True,True,False,False,True,False,True,0.08270669507681741,"(0.246, 0.282]",0.2563450001450286
GLRA1,ENSG00000145888,GLRA1,protein_coding,5,151822513.0,151924851.0,408128.0,4.586234509176222,True,False,False,False,True,False,True,0.03717635823111871,"(0.0894, 0.104]",0.17663482344627973
TAFA1,ENSG00000183662,TAFA1,protein_coding,3,68004247.0,68545621.0,3577320.0,40.19922287705397,True,True,False,False,True,False,True,0.7918804752506113,"(1.352, 1.683]",1.2348431742169352
